cut,color,clarity,item,price,carat,x,y,z,noData
Fair,D,I1,mean,7383,1.88,7.52,7.4,4.9,4
Fair,D,I1,min,2491,0.91,6,5.9,4,4
Fair,D,I1,max,15964,3.4,9.42,9.3,6.3,4
Fair,D,I1,sd,5899,1.07,1.42,1.4,1,4
Fair,D,IF,mean,1620,0.38,4.75,4.7,2.9,3
Fair,D,IF,min,1208,0.3,4.47,4.3,2.7,3
Fair,D,IF,max,2211,0.47,5.09,5,3,3
Fair,D,IF,sd,525,0.09,0.32,0.3,0.2,3
Fair,D,SI1,mean,4273,0.91,6.01,6,3.9,58
Fair,D,SI1,min,644,0.4,4.63,4.7,3,58
Fair,D,SI1,max,16386,2.02,7.98,7.9,5.1,58
Fair,D,SI1,sd,3019,0.32,0.67,0.7,0.4,58
Fair,D,SI2,mean,4355,1.02,6.24,6.2,4,56
Fair,D,SI2,min,536,0.3,4.29,4.2,2.8,56
Fair,D,SI2,max,16086,2.07,8.2,8.2,5.2,56
Fair,D,SI2,sd,3260,0.36,0.73,0.7,0.5,56
Fair,D,VS1,mean,2921,0.63,5.37,5.4,3.5,5
Fair,D,VS1,min,563,0.25,4.09,4.1,2.5,5
Fair,D,VS1,max,7083,1,6.77,6.7,4.4,5
Fair,D,VS1,sd,2550,0.29,1,1,0.7,5
Fair,D,VS2,mean,4513,0.84,5.95,5.9,3.7,25
Fair,D,VS2,min,592,0.29,4.14,4.1,2.7,25
Fair,D,VS2,max,15152,1.51,7.17,7.1,4.7,25
Fair,D,VS2,sd,3383,0.29,0.7,0.7,0.5,25
Fair,D,VVS1,mean,4473,0.61,5.32,5.4,3.3,3
Fair,D,VVS1,min,875,0.32,4.38,4.4,2.8,3
Fair,D,VVS1,max,10752,1,6.66,6.6,3.8,3
Fair,D,VVS1,sd,5457,0.35,1.19,1.1,0.5,3
Fair,D,VVS2,mean,3607,0.59,5.26,5.2,3.2,9
Fair,D,VVS2,min,772,0.3,4.2,4.2,2.5,9
Fair,D,VVS2,max,10562,1.01,6.37,6.3,4,9
Fair,D,VVS2,sd,3629,0.28,0.76,0.8,0.6,9
Fair,E,I1,mean,2095,0.97,6.17,6.1,4,9
Fair,E,I1,min,1232,0.7,5.61,5.5,3.5,9
Fair,E,I1,max,3692,1.3,6.79,6.8,4.5,9
Fair,E,I1,sd,824,0.21,0.42,0.4,0.4,9
Fair,E,SI1,mean,3901,0.87,5.94,5.9,3.7,65
Fair,E,SI1,min,579,0.3,4.28,4.2,2.6,65
Fair,E,SI1,max,15330,2,7.71,7.8,5.1,65
Fair,E,SI1,sd,3100,0.35,0.81,0.8,0.5,65
Fair,E,SI2,mean,4172,1.02,6.28,6.2,4,78
Fair,E,SI2,min,818,0.41,4.7,4.7,2.9,78
Fair,E,SI2,max,15540,2.04,8.16,8,5.2,78
Fair,E,SI2,sd,3055,0.37,0.74,0.7,0.5,78
Fair,E,VS1,mean,3308,0.63,5.37,5.3,3.3,14
Fair,E,VS1,min,361,0.25,3.99,4,2.3,14
Fair,E,VS1,max,15584,1.5,7.14,7.1,4.7,14
Fair,E,VS1,sd,4007,0.35,0.9,0.9,0.7,14
Fair,E,VS2,mean,3042,0.69,5.5,5.4,3.5,42
Fair,E,VS2,min,337,0.22,3.87,3.8,2.5,42
Fair,E,VS2,max,12829,1.51,7.06,7.1,4.6,42
Fair,E,VS2,sd,2441,0.29,0.75,0.8,0.5,42
Fair,E,VVS1,mean,4115,0.64,5.44,5.4,3.3,3
Fair,E,VVS1,min,1012,0.34,4.8,4.8,2.6,3
Fair,E,VVS1,max,8529,1.01,6.19,6.1,4.1,3
Fair,E,VVS1,sd,3926,0.34,0.7,0.7,0.7,3
Fair,E,VVS2,mean,3119,0.6,5.33,5.3,3.2,13
Fair,E,VVS2,min,586,0.3,4.14,4.2,2.4,13
Fair,E,VVS2,max,7918,1,6.59,6.6,4.1,13
Fair,E,VVS2,sd,2656,0.27,0.83,0.8,0.5,13
Fair,F,I1,mean,2544,1.02,6.14,6,4,35
Fair,F,I1,min,584,0.34,4.72,4.6,2.6,35
Fair,F,I1,max,7294,2.11,8.3,8.2,5.3,35
Fair,F,I1,sd,2227,0.55,1.08,1.1,0.7,35
Fair,F,IF,mean,2344,0.55,5.35,5.4,3.2,4
Fair,F,IF,min,1166,0.37,4.96,4.9,2.6,4
Fair,F,IF,max,3205,0.71,5.87,5.8,3.4,4
Fair,F,IF,sd,901,0.15,0.43,0.4,0.4,4
Fair,F,SI1,mean,3785,0.86,5.93,5.9,3.7,83
Fair,F,SI1,min,496,0.29,4.27,4.2,2.5,83
Fair,F,SI1,max,16280,2.03,8.32,8.3,5.2,83
Fair,F,SI1,sd,3169,0.37,0.83,0.8,0.5,83
Fair,F,SI2,mean,4520,1.08,6.36,6.3,4,89
Fair,F,SI2,min,719,0.25,4.3,4.2,2.3,89
Fair,F,SI2,max,17405,2.58,8.58,8.5,5.6,89
Fair,F,SI2,sd,3627,0.45,0.84,0.8,0.6,89
Fair,F,VS1,mean,4103,0.8,5.87,5.8,3.6,33
Fair,F,VS1,min,593,0.3,4.25,4.3,2.6,33
Fair,F,VS1,max,17995,1.93,8.17,8,4.8,33
Fair,F,VS1,sd,3273,0.31,0.72,0.7,0.5,33
Fair,F,VS2,mean,3400,0.76,5.67,5.6,3.6,53
Fair,F,VS2,min,662,0.3,4.25,4.2,2.5,53
Fair,F,VS2,max,13853,1.5,7.15,7.1,4.7,53
Fair,F,VS2,sd,2364,0.28,0.67,0.7,0.5,53
Fair,F,VVS1,mean,4680,0.67,5.5,5.5,3.3,5
Fair,F,VVS1,min,740,0.31,4.32,4.4,2.6,5
Fair,F,VVS1,max,12648,1.32,7.31,7.3,4.2,5
Fair,F,VVS1,sd,5396,0.47,1.26,1.2,0.8,5
Fair,F,VVS2,mean,4018,0.63,5.3,5.3,3.3,10
Fair,F,VVS2,min,693,0.3,4.19,4.2,2.5,10
Fair,F,VVS2,max,16364,1.5,7.22,7.2,4.7,10
Fair,F,VVS2,sd,4757,0.37,0.92,0.9,0.6,10
Fair,G,I1,mean,3187,1.23,6.52,6.4,4.2,53
Fair,G,I1,min,701,0.5,4.95,4.9,3.2,53
Fair,G,I1,max,10076,2.52,8.75,8.7,5.6,53
Fair,G,I1,sd,2598,0.64,1.07,1.1,0.7,53
Fair,G,IF,mean,1488,0.46,4.9,5,3,2
Fair,G,IF,min,1127,0.39,4.83,4.9,2.8,2
Fair,G,IF,max,1849,0.52,4.98,5.1,3.3,2
Fair,G,IF,sd,511,0.09,0.11,0.1,0.4,2
Fair,G,SI1,mean,3579,0.91,5.99,5.9,3.9,69
Fair,G,SI1,min,756,0.4,4.68,4.5,2.9,69
Fair,G,SI1,max,18574,2.01,7.82,7.7,5.1,69
Fair,G,SI1,sd,2799,0.32,0.64,0.6,0.4,69
